"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5579","AC3-S1: Add 'Sauce Labs Backpack' to cart from products page","chromium","2026-09-15","passed","2026-09-15","AC3: Add to cart","cart.spec.ts","",""
"","5230","AC2-S1: Attempt login with invalid credentials","chromium","2026-09-21","passed","2026-09-21","Add to cart & checkout flow","cart_checkout.spec.ts","",""
"","6896","AC3-S1: Verify old 'Products' header is absent","chromium","2026-09-21","failed","2026-09-21","Header Rename to Inventory","header-rename.spec.ts","",""
"","5269","AC2-S2: Empty credentials show an error message and user remains on login page","chromium","2026-09-15","passed","2026-09-15","AC1 & AC2: Login","login.spec.ts","",""
"","2104","AC1-S1: Successful login with valid credentials","chromium","2026-09-21","passed","2026-09-21","Header Rename to Inventory","header-rename.spec.ts","",""
"","7213","AC2-S1: Verify primary page header text is 'Inventory'","chromium","2026-09-21","failed","2026-09-21","Header Rename to Inventory","header-rename.spec.ts","",""
"","5337","AC3-S1: Add ""Sauce Labs Backpack"" to cart from the products page","chromium","2026-09-21","passed","2026-09-21","Cart Flow","cart.spec.ts","",""
"","5556","AC1-S1: Log in successfully with valid credentials","chromium","2026-09-21","passed","2026-09-21","Add to cart & checkout flow","cart_checkout.spec.ts","",""
"","5345","AC2-S1: Invalid credentials show an error message and user remains on login page","chromium","2026-09-15","passed","2026-09-15","AC1 & AC2: Login","login.spec.ts","",""
"","1570","AC2-S1: Attempt login with invalid credentials","chromium","2026-09-21","passed","2026-09-21","Login Flow","login.spec.ts","",""
"","6082","AC4-S1: Complete checkout process for item in cart","chromium","2026-09-21","passed","2026-09-21","Checkout Flow","checkout.spec.ts","",""
"","5369","AC3-S1: Add ""Sauce Labs Backpack"" to cart from the products page","chromium","2026-09-21","passed","2026-09-21","Add to cart & checkout flow","cart_checkout.spec.ts","",""
"","5240","AC1-S1: Successful login with valid credentials navigates to products page","chromium","2026-09-15","passed","2026-09-15","AC1 & AC2: Login","login.spec.ts","",""
"","5803","AC4-S1: Complete checkout end-to-end and see confirmation message","chromium","2026-09-15","passed","2026-09-15","AC4: Checkout flow","checkout.spec.ts","",""
"","1796","AC1-S1: Log in successfully with valid credentials","chromium","2026-09-21","passed","2026-09-21","Login Flow","login.spec.ts","",""
"","5956","AC4-S1: Complete checkout process for item in cart","chromium","2026-09-21","passed","2026-09-21","Add to cart & checkout flow","cart_checkout.spec.ts","",""
